mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment
0.23950986862182616,0.015337186332537408,0.006242704391479492,0.0020413154775689394,0.7,3.0,0.5,250,8,2,0.05,0.01,0.6,"{'subsample': 0.7, 'reg_lambda': 3.0, 'reg_alpha': 0.5, 'n_estimators': 250, 'min_child_weight': 8, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.6}",-0.03997097973977664,-0.03286255101607683,-0.029688741247053188,-0.06964184271894984,-0.07419967358181002,-0.0492727576607333,0.018844640707361363,8,B_current_based
0.21314926147460939,0.012437938198568397,0.010568380355834961,0.006751196417414743,1.0,1.0,0.0,150,5,3,0.05,0.1,0.6,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 0.6}",-0.04712561728787143,-0.031362760303936726,-0.033871998338346344,-0.07016156857892628,-0.06896762699220993,-0.05029791430025814,0.016622497848936362,12,B_current_based
0.8045948505401611,0.016808040407808943,0.006439685821533203,0.000922114213629881,0.7,10.0,0.01,150,5,5,0.05,0.01,0.8,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.8}",-0.045840458726695406,-0.02529641576790729,-0.02882142810093807,-0.07821464108269047,-0.06317579451108946,-0.04826974763786414,0.02015340880069809,4,B_current_based
0.5768420219421386,0.01901317935555318,0.0070264339447021484,0.0016711175955265352,1.0,5.0,0.01,400,3,2,0.05,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 5.0, 'reg_alpha': 0.01, 'n_estimators': 400, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.8}",-0.028214439652521316,-0.03632063890150166,-0.032315410438838156,-0.06889665405200075,-0.07591414358393417,-0.04833225732575921,0.019945925957828247,5,B_current_based
0.2954671859741211,0.006623226167011749,0.008045148849487305,0.0024858753156247926,0.85,1.0,0.0,150,1,3,0.02,0.0,0.6,"{'subsample': 0.85, 'reg_lambda': 1.0, 'reg_alpha': 0.0, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.02, 'gamma': 0.0, 'colsample_bytree': 0.6}",-0.04698346230287773,-0.02804152627089683,-0.04085545066918044,-0.07514657339906694,-0.06722814073726853,-0.0516510306758581,0.0172651459661848,14,B_current_based
0.2957760334014893,0.005989267004093705,0.005377626419067383,0.00035625763016775756,1.0,10.0,0.01,150,8,3,0.1,0.0,0.8,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 0.8}",-0.03912469315589616,-0.028125987305036005,-0.03026876270869819,-0.06809301302121655,-0.07155790860835044,-0.047434072959839466,0.018682864294605812,3,B_current_based
0.17078084945678712,0.004683120519284706,0.008354377746582032,0.005089664354245535,1.0,3.0,0.1,150,5,2,0.05,0.01,0.8,"{'subsample': 1.0, 'reg_lambda': 3.0, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.01, 'colsample_bytree': 0.8}",-0.04881596291720458,-0.03565603410084198,-0.03379848146587659,-0.07447639064594302,-0.069931151282559,-0.05253560408248503,0.01693421716245941,16,B_current_based
1.1945247650146484,0.020734889594108335,0.008072519302368164,0.0019083011549508174,0.85,5.0,0.1,400,8,4,0.05,0.0,0.6,"{'subsample': 0.85, 'reg_lambda': 5.0, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.6}",-0.03719758952680545,-0.023428155556428836,-0.03131263224677768,-0.07654758614089285,-0.07346235872071696,-0.04838966443832436,0.02218771303286313,6,B_current_based
1.1049558162689208,0.03521333607727657,0.0057792186737060545,0.0015496026903801697,1.0,10.0,0.0,250,5,4,0.05,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.04120693059799867,-0.0255546408552042,-0.031848375245896315,-0.07832753239972111,-0.07313088754397691,-0.05001367332855944,0.021641909574111245,11,B_current_based
0.16811013221740723,0.009985767835203465,0.008413457870483398,0.0031245713257451956,1.0,1.0,0.5,150,8,4,0.1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.14653827508383085,-0.016308809559964943,-0.02532630540601494,-0.04684734814513275,-0.05340891337817168,-0.05768593031462303,0.046453672307960804,7,C_vibration_based
